content,score
bikin mood akuu bgss,5
mantap,4
Like,5
"update bgt lagu_lagunya, aku suka",5
bagus lah the best,5
ok banget....,5
mantap enak sambil maen game,5
enak di dengar dan menenangkan,5
bagusss 👍👍👍,5
"banyakin aja iklanya yang panjang durasinya mana gak ada untuk skip iklan, lama2 gua hapus ini aplikasi.",1
bagus,4
asik. cuma tampilan sama ada beberapa lagu yg ga muncul,5
mendengarkan lagu Spotify,5
bagus tapi kebanyakan iklan,4
mantap,5
good,5
👍👍👍,5
"aplikasi lagu yang bagus, enak juga",5
lagu nya enak banget sad apalagi,5
jarang pakai,5
terlalu perbayar ☹️,4
mantap,5
ok nanget,5
mantapp,5
"handling 7hape, semua install spotify, karna kereen dan masuuk akall😀😀",5
luar biasantaf mntaf,5
sangat menghibur😍😍😍,5
bagus,5
jujjr sebenernya bagus yaaa cuma kenapa di batasin cobaa kalo mau ngedengerin lagu,5
Terima Kasih,5
"Aplikasi sering error dan tidak bisa digunakan, untuk menyetel lagu ada iklan cuma iklannya ga lewat2, kecewa berat",1
Good app! :),5
mantap musiknya...aku suka,4
"mines,kadang ga bisa terus""n mengulang lagu yg sdh di putar.keseluruhan si oke",3
bagus,5
ok,5
mantap... 👍👍👍,5
Bagus,5
"udah bagus,musiknya lengkap, sedikit saran tambahkan fitur buat rapihin playlist musik aja",5
"kereen, semua playlist lagu ada 😍😍",5
very2 gods,5
ok,5
sukak! buat dengerin lagu pakek banget deh pokoknya 👍👍👍👍👍,5
Bagus banget aplikasinya bisa bikin mood jadi happy lagi!,5
"aplikasi banyak iklan, ganggu aja iklannya, kalau bikin aplikasi tuh jangan ada iklan, gak enak denger musik kalau ada iklan nya. nyesal saya download aplikasi ini. buang buang kouta aja,",1
keren bangettt,5
mudah di pergunakan,5
mantap bro 👍👍👍,5
bagus buat bermain atau latihan sambil dengarin musik,5
suka nyanyi lagu Antara senyumanmu,5
I Like 👍🏻,5
kenapa ini setiap search lagu dan mau play malah muncul iklan trus ngestuck yak?,1
bagus banget,5
kalo pake yg gratis enaaak,5
"aplikasinya udh oke dan bagus karna semua lagu bisa di bilang ada di sini, tapi yang mau saya bicarakan adalah tentang iklan, nah iklan ini lumayan nyebelin kadang kalau mau denger lagu malah ada iklan udh gitu gk ilang atau gk bisa di putar. jadi kasih saya bintang 4 aja dulu.",4
bagus,5
seruuu,5
bagusss,5
bagus,5
ᑲᥲgᥙs sіһ ᥲ⍴k ᥒᥡᥲ 𝗍ᥲ⍴і mᥲsᥲᥣᥲһ ᥒᥡᥲ һᥲrᥙs ⍴rᥱmіᥙm 𝗍⍴і g⍴⍴ ᥲkᥙ kᥲsіһ ᑲіᥒ𝗍ᥲᥒg 3,3
ada lagu jumno,5
BAGUS COKKKKKK,5
wow sngt menakjubkan,5
bagus buat lumayan dengar lagu lagu kesukaan,5
lagu lagu banyak..keren,5
bagus banet tp tolong jangan bayar dong supaya semua masyarakat bisa merasakan,5
keren,5
💕,4
mantap pelepas lelah,5
chef's kiss,5
bagus,5
di senangi,4
ini update iklan kah bukan apknya?iklannya dah ditunggu 1 jam ga hilang hilang,1
bagus mah bagus tapi kalau di hp gu ga bisa sambil main ff,5
Bagus,5
bgus,4
ayolah Spotify masa kau mem premiumkan fitur penting di aplikasi ini yaitu fitur mengulang lagu.,2
"banyak lagunya suka suaranya jernih banyak kolaborasi sama aplikasi lain, keren.",5
wow bagus banget,5
musiknya sangat bagus,5
mantap,5
bagus bgt,5
bagus,5
oke,5
"Apaan coba, semua fiturnya harus berbayar. Masa skip lagu sama milih lagu juga bayar sih?",1
bagus,4
"semakim lama update semakin maksa premium,dulu bisa bebas mutar lagu tanpa limit skrg dilimit setiap harinya.",2
baguss cumann ga duka kalau iklan,3
oke BGT,4
bagus,5
likeee,4
Karena harus bayar,1
bagus,5
kenadigunain do game,4
muts muts ada yang nanyain kabar kita nih 💔💔💔💔,5
mantab ..,5
Aku suka banget Spotify bisa mendengarkan lagu kesukaan kalian kalo yang mau mendengarkan lagu kesukaan kalian download Spotify sekarang juga 👍,5
lagunya ada semua lagunya seru dan enak didengar lagunya,5
seru bisa dengerin lagu tanpa iklan dan banyak banget lagunya kalo bisa sih saran aku lagu yang ada di tik tok adain di spotify,5
good,5
bagus,5
GOOD,5
sangat keren,5
"Gua rekomen bgt sih pake apk ini buat dengerin lagu². *Walau terkadang lagi enak² nya denger lagu, iklan muncul*. edit: Kenapa ya, sekarang kalo lagi anteng di playlist yang udah diatur, terus tiba-tiba banget ada musik yang ga ada diplaylist ke stel? Jujur itu agak mengganggu",5
"Saya sudah berlangganan Premium. tetapi lirik tidak muncul untuk semua lagu bahkan lagu bahasa inggris atau Indonesia. kecewa berat, tolong diperbaiki.",1
teman saat menyusuri jalanan Cikarang,5
"bagus cuma apa2 di batasi karena berbayar next lagu dibatasi, muter lagu nya berbayar dan ditambah iklan pula 😅",1
bagus banget,5
lagu semua ada,5
Ini sangat bagus,5
tiba tiba gk bisa pilih lagu yg mau diputer malah disuruh premium ini upgrade ato ngebug sih? kalo upgrade agak kecewa sih masa gk bisa pilih,3
aku suka banget sama spotify bisa denger lagu lagu pokok nya spotify bagus banget👍👍👍👍👍,5
"lirik nya manaa, muak banget kalo ga bisa pilih lagu, susah bat kayanya",1
bagus doang🗿,5
kalau bisa tambahkan fitur top 5 album/lagu di profil,5
Aplikasi bagus,5
"sangat baik, semua lagu yg saya cari di Spotify",5
Ini gimana sih gabisa masuk coba harus challenge apaan coba..,1
makin lama makin kikir dikit dikit premium,1
bagus sekali,5
Bagus buat dengarkan lagu sad😂,5
baik,5
"Terima kasih aplikasi ini sangat membantu, kebetulan saya sangat suka mendegarkan musik",5
👌🏻👍🏻,5
tolong ini udah bagus cuman kadang² pemutaran engga sesuai sama yang ada di playlist,5
pliss buat fitur mode offline jadi gak perlu pakai internet,4
ok,5
Asyik bisa menikmati lagu2 penyanyi favorit,5
suka,4
aplikasi ini sangat Bagus bisa menenangkan pikiran,5
galau pun ga terhalang,5
Terbaik,5
banyak manfaatnya,5
like,5
banyak iklan,3
Sangat suka Spotify sangat membantu,5
nafsu sekali dan semua lagu ada,5
bagus🥳🥳🥳,5
bagusss enakkk,5
bagus sekali lagi lagu nya,4
𝐛𝐚𝐠𝐮𝐬 𝐛𝐚𝐧𝐠𝐞𝐭𝐭,5
baguss,5
"untuk yang tidak punya premium, kesel tiba-tiba ada suara""aYo pAkE PrEmIuM"" GANGGU BANGET SIH, UDAH TAU GAK PUNYA DUIT",1
mantapp mennn,4
baik,5
bagus banget,5
saya merekomendasikan untuk menyetel lagu menggunakan Spotify,5
saya sangat suka mendengarkan lagu dari Spotify loh temen²,5
gratisan dong jangan banyak iklan,5
music berkualitas,5
baguss,5
👍,5
THE NICE APP,5
"apk kikir, mao dengerin aja dibatas in 6x/hari",1
bagus bgt pls aku pake tiap hari wkwk,5
keren banget sih apk ini,5
"aplikasi nya bagus banget,apalagi bisa dengerin lagu sambil main game.tapi ada kekurangan nya,kalau mau dengerin 2/3 lagu pasti langsung ada iklannya....",5
bagus,5
seru bngt sih dengerin lagu di apotify,5
suka,5
bagus banget,5
mantap,5
harus buat akun susah😭😭😭😭,1
emang spotify yg the best,5
lagu² yah sangat enak² di dengar 👍,5
bagus,4
ok,5
sangat bagus,5
bagussss! seru bisa dengwring lagu nostalgia,5
saran. klo putar lagu jangan di campur. misalnya lagu bugis ya bugis semua. jangan ada lagu daerah lain. terimakasih,5
bagus sih bayak juga lagu yang baru baru tapi sayangnya harus berbayar kalau mau lagu nya di play ber urutan mks🙃,5
bagus banget,5
mudah d aplikasikan,5
bagus👍,4
saya menyukai aplikasi nya bagus bgt,5
premium nya mahal bangett😭😭,3
apl luarbisa. topp,5
💗,5
"""Spotify benar-benar mengubah cara saya menikmati musik. Koleksi lagunya lengkap dan selalu ada sesuatu yang baru untuk ditemukan.""",5
update biar bisa offline jadi enak hemat data dan kalobisamah ada aksara nyah seperti onlin,3
trimakasih bermanfaat untuk kita semua,5
good boyy,5
saya sangat suka sama Spotify karna dapat menghilangkan bosan saya,5
"kenapa tdk bisa batal berlangganan, apakah ini jebakan yg harus berlangganan trs? why?",1
sangat bagus,5
oke... mantab.,5
sangattt bagusss,5
fav♡,5
"BUG TIDAK BISA MEMUTAR MUSIK, KOCAK",1
mana ni langganan seminggu sekalinyaa🤨,1
mantap,5
sangat membantu....terus semangat ya 🤗🫶🏼,5
kalo lagi main block blast dengerin lagu jadi bagi aku bermanfaat aku suka sama aplikasinya seru yes,5
bagus musiknya biar bisa sad,5
i love this app!,5
👍,5
mantapp,5
"knp sekarang apk jadi gini dulu kalo kita dengerin lagu pasti nanti nyambung ke lagu berikutnya tp knp sekarang apk tiba"" mati sendiri",4
mantep,5
Mantap,5
Bagus banget spotify dan juga bisa dengar lagu kesuka kita cocok banget untuk mendengar nya 😎👍,5
ini sangat menyenangkan,5
ok,5
mantap,5
sangat s3nang drngan apl ini,5
apk nya bagusssss🤩🤩🥳🥳🥳,5
Kenapa tiba tiba log out jir,5
mantap,5
sangat baguss bangett,5
mantapp,5
VL muss man ja noch was,5
banayak misik,5
